TransactionType,Description,GrossAmount,Fees,NetAmount,TransactionDate,RunningBalance
Sale,2025 Bowman Draft Sapphire Ethan Frey Chrome 1st Prospect #BDC-67 Astros,$2.25,$1.44,$0.81,05/02/2026 16:13:35 +00:00,$158.11
Sale,2024 Bowman Draft Jonny Farmelo Chrome Green Refractor #/99 Mariners,$3.51,$1.69,$1.82,05/02/2026 16:13:35 +00:00,$159.93
Sale,2024 Panini Select Caleb Williams Premier RC Rookie #114 Bears,$1.25,$1.24,$0.01,05/03/2026 00:00:49 +00:00,$159.94
Sale,2024 Panini Select Drake Maye Concourse RC Rookie #27 Patriots,$1.76,$1.34,$0.42,05/03/2026 01:25:59 +00:00,$160.36
Sale,2024 Panini Select Drake Maye Premier RC Rookie #113 Patriots,$1.30,$1.25,$0.05,05/03/2026 11:17:02 +00:00,$160.41
Sale,2025 Bowman Draft Walker Janek Chrome Green Grass Refractor #/99 Astros,$5.50,$2.09,$3.41,05/03/2026 13:11:50 +00:00,$163.82
Sale,2023 Bowman Draft Kristian Campbell Aqua/Pink Gradient 1st #/199 Red Sox,$3.51,$1.69,$1.82,05/03/2026 15:00:17 +00:00,$165.64
Sale,2020-21 Panini Donruss Optic Luka Doncic #86 Mavericks,$0.99,$0.99,$0.00,05/03/2026 15:37:46 +00:00,$165.64
Payout,Requested payout via ACH,-$165.64,$0.00,-$165.64,05/03/2026 19:37:26 +00:00,$0.00
Sale,2025 Bowman Draft Andrew Salas Chrome Green Refractor #/99 Marlins,$3.01,$1.59,$1.42,05/04/2026 01:45:54 +00:00,$1.42
Sale,2026 Topps Roman Anthony Titans Of The Game RC Rookie #TOG-9 Red Sox,$3.25,$1.64,$1.61,05/04/2026 11:03:28 +00:00,$3.03
Sale,2025 Bowman Draft JoJo Parker Chrome Refractor 1st Prospect #BDC-8 Blue Jays,$7.50,$2.49,$5.01,05/04/2026 11:43:13 +00:00,$8.04
Sale,2025 Bowman Draft Ethan Frey Chrome Blue Refractor 1st Prospect #/150 Astros,$9.37,$2.86,$6.51,05/04/2026 15:15:39 +00:00,$14.55
Sale,2025 Bowman Draft Nolan Sailors Chrome Auto 1st Prospect #CPA-NSA Royals,$7.50,$2.49,$5.01,05/05/2026 02:08:16 +00:00,$19.56
Sale,2025 Bowman Chrome Zac Veen RC Orange Refractor Rookie #/25 Rockies,$17.50,$4.14,$13.36,05/05/2026 02:09:08 +00:00,$32.92
Sale,2023 Topps Composite Jim McMahon Chrome Blue Refractor #/150 Bears,$1.94,$1.38,$0.56,05/05/2026 02:14:15 +00:00,$33.48
Sale,2025 Bowman Draft Tommy White Sky Blue Border #/499 Athletics,$0.99,$0.99,$0.00,05/05/2026 02:15:50 +00:00,$33.48
Sale,2025-26 Topps Andrew Wiggins Gold #/2025 Heat,$0.99,$0.99,$0.00,05/05/2026 02:59:49 +00:00,$33.48
Sale,2025 Topps Update Eli White Orange Holo Foil #/25 Braves,$7.50,$2.49,$5.01,05/05/2026 11:46:12 +00:00,$38.49
Sale,2024-25 Panini Select Jared McCain Concourse RC Green Wave Prizm #/50 76ers,$16.51,$3.96,$12.55,05/06/2026 01:31:30 +00:00,$51.04
Sale,2025 Topps Cosmic Chrome James Wood Planetary Pursuit RC Mercury Rookie #PPM-7,$63.00,$9.18,$53.82,05/06/2026 02:15:37 +00:00,$104.86
Sale,2026 Topps Roman Anthony 1991 Chrome Silver Pack RC Refractor #91C-60,$16.50,$3.96,$12.54,05/06/2026 02:15:39 +00:00,$117.40
Payout,Requested payout via ACH,-$117.40,$0.00,-$117.40,05/06/2026 03:25:02 +00:00,$0.00
Sale,2025 Topps Allen & Ginter Jacob Wilson Mini RC Stained Glass #105 Athletics,$49.00,$7.36,$41.64,05/06/2026 05:15:55 +00:00,$41.64
Sale,2025 Panini Phoenix Bo Nix Paragon #14 Broncos,$1.25,$1.24,$0.01,05/07/2026 02:01:19 +00:00,$41.65
Sale,2026 Topps Mauricio Dubon Yellow Rainbow Foil #/399 Astros,$1.25,$1.24,$0.01,05/07/2026 02:13:17 +00:00,$41.66
Sale,2025 Panini Ohio State University Quinshon Judkins Trophy Hunting Holo #TH-7,$0.99,$0.99,$0.00,05/07/2026 02:13:34 +00:00,$41.66
Payout,Requested payout via ACH,-$41.66,$0.00,-$41.66,05/07/2026 18:46:58 +00:00,$0.00
Sale,2025 Bowman's Best Konnor Griffin Top Prospects Purple Mojo Refractor #/250,$18.00,$5.23,$12.77,07/29/2026 00:45:24 +00:00,$12.77
Sale,2025 Bowman Luke Sinnard Chrome Black Geometric Refractor 1st #/10 Braves,$67.00,$10.70,$56.30,07/29/2026 02:06:32 +00:00,$69.07
Sale,2025-26 Topps Chrome Kon Knueppel RC Rookie #254 Hornets PSA 10 GEM MINT,$133.50,$19.34,$114.16,07/29/2026 02:06:35 +00:00,$183.23
Sale,2025-26 Topps Chrome Stephen Curry Sleek Finishers Blue Refractor #/150 Warriors,$48.00,$8.23,$39.77,07/29/2026 02:30:46 +00:00,$223.00
Sale,2025-26 Topps Finest Kon Knueppel Rare RC Sky Blue Refractor #/150 Hornets,$75.00,$11.74,$63.26,07/29/2026 02:34:43 +00:00,$286.26
Sale,2022 Panini Prizm Mike Trout Illumination Blue Mojo #/199 Angels PSA 9,$31.00,$6.02,$24.98,07/29/2026 02:45:21 +00:00,$311.24
Sale,2024-25 Topps UEFA Cristiano Ronaldo Ultimate Stage Chrome #USC-28 Real Madrid,$60.00,$9.79,$50.21,07/29/2026 05:29:17 +00:00,$361.45
Sale,2025 Bowman's Best Kevin McGonigle Top Prospects Aqua Lava Refractor #/199,$18.50,$5.32,$13.18,07/29/2026 06:29:27 +00:00,$374.63
