Item number,Title,Current price
FBrelist-080426-0730,BAKER MAYFIELD 2024 Panini Contenders #92 Season Ticket Buccaneers Football,3.49
FBrelist-080426-0731,DK METCALF 2024 Panini Contenders #91 Season Ticket Retail Seattle Seahawks,3.49
FBrelist-080426-0732,AIDAN HUTCHINSON 2024 Panini Contenders #34 Season Ticket Retail Detroit Lions,3.49
FBrelist-080426-0733,PUKA NACUA 2024 Panini Contenders #59 Game Ticket Red Los Angeles Rams Football,3.49
FBrelist-080426-0734,JORDAN LOVE 2024 Panini Contenders #37 Game Ticket Green Bay Packers Football,3.49
FBrelist-080426-0735,JARED GOFF 2020 Donruss Optic #DM-JG Dominators Los Angeles Rams Football,3.49
FBrelist-080426-0736,YVES MISSI 2024 Panini Prizm Draft Picks #54b Prizms Green Baylor Bears Football,3.49
FBrelist-080426-0737,MICAH PARSONS 2022 Score #227 Dallas Cowboys Football,2.49
FBrelist-080426-0738,JUSTIN HERBERT 2024 Panini Select #131 Los Angeles Chargers Football,3.49
FBrelist-080426-0739,ZENITH JOHNNY MANZIEL 2024 Panini #24 Retail Cleveland Browns Football,2.99
FBrelist-080426-0740,JORDAN LOVE 2024 Donruss #230 Green Bay Packers Football,2.99
FBrelist-080426-0741,JUSTIN HERBERT 2024 Donruss Optic #106 Los Angeles Chargers Football,2.99
FBrelist-080426-0742,JUSTIN HERBERT 2024 Donruss #250 Los Angeles Chargers Football,2.99
FBrelist-080426-0743,BUCKY IRVING 2024 Donruss Optic #216 Tampa Bay Buccaneers Football,2.99
FBrelist-080426-0744,ZENITH JALEN CARTER 2023 Panini #148 Retail Philadelphia Eagles Football,3.49
FBrelist-080426-0745,DRAKE LONDON 2024 Panini Absolute #6 Retail Atlanta Falcons Football,3.49
FBrelist-080426-0746,KEON COLEMAN 2024 Panini Prizm #362 Buffalo Bills Football,3.49
FBrelist-080426-0747,JONATHON BROOKS 2024 Donruss Optic #258 Carolina Panthers Football,2.99
FBrelist-080426-0748,ZENITH QUINYON MITCHELL 2024 Panini #182 Retail Philadelphia Eagles Football,2.99
FBrelist-080426-0749,ZENITH CHRISTIAN MCCAFFREY 2024 Panini #88 Retail San Francisco 49ers Football,2.99
